accuracy,f1_score_metric,loss,precision,recall,val_accuracy,val_f1_score_metric,val_loss,val_precision,val_recall
0.8469846844673157,0.7971250414848328,0.4176328778266907,0.8836754560470581,0.8136813640594482,0.8155136108398438,0.17370231449604034,0.5660842657089233,0.8449438214302063,0.7882599830627441
0.8667866587638855,0.8183844685554504,0.37950268387794495,0.8998054265975952,0.8325832486152649,0.8134171962738037,0.172340527176857,0.5749898552894592,0.8552036285400391,0.7924528121948242
0.8604860305786133,0.8038662672042847,0.3947503864765167,0.8994082808494568,0.8208820819854736,0.8364779949188232,0.17450647056102753,0.5295250415802002,0.8701594471931458,0.8008385896682739
0.8649864792823792,0.8165057301521301,0.37941697239875793,0.9016715884208679,0.8253825306892395,0.8155136108398438,0.17181886732578278,0.5684053897857666,0.8411633372306824,0.7882599830627441
0.8595859408378601,0.7948757410049438,0.3655696511268616,0.8882409930229187,0.82268226146698,0.8176100850105286,0.15663988888263702,0.5938490033149719,0.8620689511299133,0.7337526082992554
0.8352835178375244,0.7931139469146729,0.4096214473247528,0.8796477317810059,0.8091809153556824,0.8259958028793335,0.17482884228229523,0.5411509275436401,0.8623024821281433,0.8008385896682739
0.8676867485046387,0.8178164958953857,0.37094050645828247,0.9054726362228394,0.8190819025039673,0.8322851061820984,0.17452937364578247,0.552478551864624,0.8584269881248474,0.8008385896682739
0.8685868382453918,0.8374893069267273,0.37059319019317627,0.9062191247940063,0.8262826204299927,0.8343815803527832,0.17127181589603424,0.5562970042228699,0.8565022349357605,0.8008385896682739
0.8676867485046387,0.8280506730079651,0.34732645750045776,0.9098039269447327,0.8352835178375244,0.8343815803527832,0.15685679018497467,0.5911952257156372,0.8771929740905762,0.7337526082992554
0.8838883638381958,0.85507732629776,0.33045679330825806,0.9263984560966492,0.8496849536895752,0.7631027102470398,0.15356673300266266,0.6258311867713928,0.8487805128097534,0.7295597195625305
0.8622862100601196,0.8062898516654968,0.3666647970676422,0.9092721939086914,0.8208820819854736,0.8218029141426086,0.16505569219589233,0.5960620641708374,0.8506787419319153,0.7882599830627441
0.869486927986145,0.8279921412467957,0.3650163412094116,0.8958130478858948,0.828082799911499,0.8008385896682739,0.17108342051506042,0.610175371170044,0.8175824284553528,0.7798742055892944
0.8442844152450562,0.7888346314430237,0.4095853865146637,0.8800393342971802,0.8055805563926697,0.7924528121948242,0.16313613951206207,0.6595085263252258,0.8214285969734192,0.7714884877204895
0.8820881843566895,0.8383675217628479,0.36232343316078186,0.9036608934402466,0.8442844152450562,0.7190775871276855,0.14541688561439514,0.7772330045700073,0.7903614640235901,0.6876310110092163
0.8532853126525879,0.8064138889312744,0.3872866928577423,0.8929633498191833,0.8109810948371887,0.75052410364151,0.1543404459953308,0.6220481395721436,0.8390243649482727,0.7211740016937256
0.8568856716156006,0.8212643265724182,0.37277334928512573,0.8963831663131714,0.8253825306892395,0.8071278929710388,0.1498035490512848,0.5983380079269409,0.8452088236808777,0.7211740016937256
0.884788453578949,0.832463264465332,0.3434516191482544,0.911821722984314,0.8469846844673157,0.7798742055892944,0.1581694781780243,0.5863061547279358,0.8743842244148254,0.7442348003387451
0.8649864792823792,0.82631516456604,0.35688093304634094,0.9005905389785767,0.8235823512077332,0.8155136108398438,0.17194756865501404,0.5880584120750427,0.8497757911682129,0.794549286365509
0.8685868382453918,0.8224347233772278,0.3484846353530884,0.8975845575332642,0.8361836075782776,0.8176100850105286,0.1599046140909195,0.5735072493553162,0.8516746163368225,0.7463312149047852
0.8568856716156006,0.8101399540901184,0.3943098783493042,0.8920233249664307,0.8253825306892395,0.7631027102470398,0.15661846101284027,0.5734636783599854,0.8684863448143005,0.7337526082992554
0.890188992023468,0.8390186429023743,0.3326336741447449,0.9229248762130737,0.8406840562820435,0.7589098811149597,0.14819423854351044,0.6103958487510681,0.8427518606185913,0.7190775871276855
0.8766876459121704,0.8421752452850342,0.35044875741004944,0.9164208173751831,0.8388838768005371,0.8176100850105286,0.17223073542118073,0.580390453338623,0.8445945978164673,0.7861635088920593
0.8793879151344299,0.8334282636642456,0.3464658856391907,0.9147894382476807,0.8406840562820435,0.8280922174453735,0.15586215257644653,0.5529382228851318,0.8700980544090271,0.7442348003387451
0.8775877356529236,0.8242286443710327,0.34889140725135803,0.9069539904594421,0.8334833383560181,0.8406708836555481,0.17497654259204865,0.5477780699729919,0.8568282127380371,0.8155136108398438
0.8595859408378601,0.8248593807220459,0.3628470003604889,0.9041095972061157,0.8316831588745117,0.8364779949188232,0.17074687778949738,0.5607055425643921,0.8623024821281433,0.8008385896682739
0.8730872869491577,0.8493356108665466,0.3500046133995056,0.9083820581436157,0.8388838768005371,0.7651991844177246,0.14613762497901917,0.6453157067298889,0.8050458431243896,0.7358490824699402
0.8856885433197021,0.8321009278297424,0.33227792382240295,0.9096153974533081,0.8514851331710815,0.7568134069442749,0.14604686200618744,0.6386948823928833,0.7847533822059631,0.7337526082992554
0.8739873766899109,0.8432676792144775,0.34446340799331665,0.9046242833137512,0.8451845049858093,0.8406708836555481,0.15812866389751434,0.5609578490257263,0.8651960492134094,0.7400419116020203
0.8784878253936768,0.8371209502220154,0.3538723289966583,0.9075875282287598,0.8397839665412903,0.8134171962738037,0.17170102894306183,0.5913436412811279,0.8522727489471436,0.7861635088920593
0.8802880048751831,0.8518890738487244,0.3333223760128021,0.910404622554779,0.8505850434303284,0.8113207817077637,0.1577681452035904,0.5954274535179138,0.8474576473236084,0.7337526082992554
0.869486927986145,0.8309653401374817,0.35079115629196167,0.9037536382675171,0.8451845049858093,0.7211740016937256,0.1478133499622345,0.763177752494812,0.7455752491950989,0.7064989805221558
0.8811880946159363,0.8394622206687927,0.34452247619628906,0.903533935546875,0.8514851331710815,0.74842768907547,0.14912861585617065,0.7003281712532043,0.7831050157546997,0.7190775871276855
0.8739873766899109,0.8358981609344482,0.3389967978000641,0.9122806787490845,0.8424842357635498,0.8008385896682739,0.15322180092334747,0.6275755167007446,0.8436724543571472,0.7127882838249207
